Entity,Code,Year,population,population
South America,,2024,435611334,435611334
South America,,2025,438105410,438105410
South America,,2026,440484483,440484483
South America,,2027,442773178,442773178
South America,,2028,444971193,444971193
South America,,2029,447077467,447077467
South America,,2030,449102462,449102462
South America,,2031,451040463,451040463
South America,,2032,452886796,452886796
South America,,2033,454639768,454639768
South America,,2034,456307937,456307937
South America,,2035,457885048,457885048
South America,,2036,459359988,459359988
South America,,2037,460731447,460731447
South America,,2038,462003222,462003222
South America,,2039,463176636,463176636
South America,,2040,464245207,464245207
South America,,2041,465198616,465198616
South America,,2042,466033969,466033969
South America,,2043,466753953,466753953
South America,,2044,467356818,467356818
South America,,2045,467844275,467844275
South America,,2046,468221416,468221416
South America,,2047,468497156,468497156
South America,,2048,468665402,468665402
South America,,2049,468719868,468719868
South America,,2050,468674518,468674518
South America,,2051,468531718,468531718
South America,,2052,468289240,468289240
South America,,2053,467946839,467946839
South America,,2054,467504238,467504238
South America,,2055,466969686,466969686
South America,,2056,466342760,466342760
South America,,2057,465617815,465617815
South America,,2058,464801163,464801163
South America,,2059,463895470,463895470
South America,,2060,462901334,462901334
South America,,2061,461827203,461827203
South America,,2062,460670714,460670714
South America,,2063,459432500,459432500
South America,,2064,458119931,458119931
South America,,2065,456731658,456731658
South America,,2066,455263814,455263814
South America,,2067,453723865,453723865
South America,,2068,452116754,452116754
South America,,2069,450443731,450443731
South America,,2070,448707098,448707098
South America,,2071,446907431,446907431
South America,,2072,445049124,445049124
South America,,2073,443135613,443135613
South America,,2074,441171058,441171058
South America,,2075,439156004,439156004
South America,,2076,437090016,437090016
South America,,2077,434974521,434974521
South America,,2078,432808318,432808318
South America,,2079,430598209,430598209
South America,,2080,428348822,428348822
South America,,2081,426061969,426061969
South America,,2082,423742127,423742127
South America,,2083,421394929,421394929
South America,,2084,419022780,419022780
South America,,2085,416622704,416622704
South America,,2086,414192705,414192705
South America,,2087,411738287,411738287
South America,,2088,409265959,409265959
South America,,2089,406778017,406778017
South America,,2090,404275327,404275327
South America,,2091,401763667,401763667
South America,,2092,399247675,399247675
South America,,2093,396723985,396723985
South America,,2094,394195960,394195960
South America,,2095,391667428,391667428
South America,,2096,389138062,389138062
South America,,2097,386613478,386613478
South America,,2098,384096360,384096360
South America,,2099,381590956,381590956
South America,,2100,379097373,379097373
